id,section,text,tip,chapter,region
"bone-17","strangers","Roanoke: Kamassa River","West bank between ","",
"bone-18","strangers","Roanoke: Van Horn North","NW of Van Horn, among trees off road heading north","",
"bone-19","strangers","Lemoyne: Scarlett Meadows Creek","Under ","",
"bone-20","strangers","Big Valley: Northern Cave","North from Wallace Station, cave entrance at bottom of slope","",
"bone-21","strangers","Big Valley: Rocky Slope","Next to ","",
"bone-22","strangers","Big Valley: Beryl","","",
"bone-23","strangers","Gaptooth: South Tumbleweed","South of ","",
"bone-24","strangers","Gaptooth: North Tumbleweed","Between ","",
"bone-25","strangers","Cholla Springs: Rattlesnake Hollow","West of Rattlesnake Hollow, base of ridge","epilogue",
"bone-26","strangers","Cholla Springs: Jorge","","",
"bone-27","strangers","Rio Bravo: San Luis River West","SW of Fort Mercer, ridge overlooking San Luis River","epilogue",
"bone-28","strangers","Rio Bravo: Del Lobo Rock","SE of Fort Mercer, high ridge, southern tip of ","",
"bone-29","strangers","Hennigan","","",
"bone-30","strangers","Hennigan","","",
"stranger-rock-carvings","strangers","Geology for Beginners (Rock Carvings)","Start: Francis Sinclair NW of Strawberry. Find 10 carvings, mail locations. Time travel mystery!","2",
"carving-01","strangers","Mount Hagen","Very top of Mount Hagen, Grizzlies West","",
"carving-02","strangers","Whinyard Strait","Rock ledge north of wooden bridge crossing Whinyard Strait","",
"carving-03","strangers","Dakota River: Bacchus Station","Cliff overlooking Dakota River, south of Bacchus Station","",
"carving-04","strangers","Dakota River: Rope Bridge","Ledge beneath cliff, directly above rope bridge","",
"carving-05","strangers","Owanjila Lake","Southwest shore, opposite Owanjila Dam","",
"carving-06","strangers","Mount Shann","Near the peak of Mount Shann","",
"carving-07","strangers","Horseshoe Overlook","Cliff overlooking burned settlement, SW of Horseshoe Overlook","",
"carving-08","strangers","Heartland Overflow","Edge of plateau above Heartland Overflow, south from Moonstone Pond","",
"carving-09","strangers","Roanoke Ridge","Rock ledge near top, directly east from Deer Cottage","",
"carving-10","strangers","Elysian Pool","Near east shore of Elysian Pool","",
"stranger-veteran","strangers","The Veteran (Hamish Sinclair)","Start: O","",
"veteran-01","strangers","Part 1: Recover Buell","Find Hamish by rock at O","",
"veteran-02","strangers","Part 2: Fishing Trip","After 1 day. Go fishing, catch ","",
"veteran-03","strangers","Part 3: Wolf Hunt","After 1 day. Track and hunt wolves with Hamish. Watch for ambush!","",
"veteran-04","strangers","Part 4: Giant Boar Hunt","Final part. Hamish is killed by boar. Kill boar, get Buell + Giant Boar Tusk.","",
"stranger-widow","strangers","The Widow (Charlotte Balfour)","Start: Willard\","",
"widow-01","strangers","Part 1: First Meeting","Find Charlotte mourning her husband. Give her food.","",
"widow-02","strangers","Part 2: Hunting Lesson","After 1 day. Teach her to hunt rabbits with a rifle.","",
"widow-03","strangers","Part 3: Self-Defense","Final visit. She has learned to survive. Get supplies.","",
"stranger-albert-mason","strangers","Arcadia for Amateurs (Albert Mason)","Wildlife photographer needs help with dangerous animals. Random encounters around the map.","2",
"albert-01","strangers","Wolves (Grizzlies)","Find Albert being circled by wolves near Grizzlies. Save him.","",
"albert-02","strangers","Wild Horses (Heartlands)","Help photograph wild horses without spooking them.","",
"albert-03","strangers","Alligators (Lagras)","Save Albert from alligators in the swamp area.","",
"albert-04","strangers","Cougars (Strawberry)","Final encounter. Find his campsite, save from cougar attack.","",
"stranger-mary-linton","strangers","Mary Linton (Ex-Lover)","Arthur","",
"mary-01","strangers","Part 1: Help Her Brother","Chapter 2. Letter arrives at camp. Help rescue her brother Jamie from Chelonians.","",
"mary-02","strangers","Part 2: Her Father","Chapter 4. Meet in Saint Denis. Deal with her father\","",
"mary-03","strangers","Part 3: Final Meeting","Chapter 6. Theater in Saint Denis. Make your choice.","",
"stranger-algernon","strangers","Duchesses and Other Animals","Start: Algernon Wasp in Saint Denis. Very grindy exotic collection quest - 5 parts.","4",
"algernon-01","strangers","Request 1: Lady Orchids","Collect 15 Lady of the Night Orchids (Bayou Nwa, Bluewater Marsh)","",
"algernon-02","strangers","Request 2: Spider Orchids + Egret Plumes","Collect 10 Spider Orchids + 5 Snowy Egret feathers","",
"algernon-03","strangers","Request 3: Cigar Orchids + Heron Plumes","Collect 10 Cigar Orchids + 5 Little Egret + 5 Reddish Egret plumes","",
"algernon-04","strangers","Request 4: Ghost Orchids + Pelicans","Collect 10 Ghost Orchids + 5 Spoonbill + 5 Pelican feathers","",
"algernon-05","strangers","Request 5: Rat Tail Orchids + Gators","Collect 20 Rat Tail Orchids + 25 Gator Eggs = Final reward","",
"stranger-marko-dragic","strangers","A Bright Bouncing Boy (Robot)","Start: Marko Dragic in Saint Denis. Help build a robot! 2 parts + secret robot encounter.","4",
"dragic-01","strangers","Part 1: Remote Control Boat","Saint Denis dock. Help demonstrate remote-controlled boats to crowd.","",
"dragic-02","strangers","Part 2: Laboratory Assistant","Doverhill Lab. Help with lightning experiment. Get Electric Lantern.","",
"dragic-03","strangers","Secret: Find the Robot","After several days, visit lab. Find robot on mountain peak.","",
"stranger-oh-brother","strangers","Oh, Brother","Valentine area. Help feuding brothers find treasure. 3 parts with comedic ending.","2",
"stranger-ties-that-bind","strangers","The Ties That Bind Us","Near Rhodes. Free chain gang prisoners twice. Honor mission.","3",
"stranger-british","strangers","He","","",
"stranger-penelope","strangers","The Course of True Love","Rhodes. Help star-crossed lovers Beau and Penelope. 5 parts across chapters.","3",
"stranger-civil-war","strangers","The Iniquities of History","Rhodes. Help former slave recover items from Confederate officer. Dark story.","6",
"stranger-american-inferno","strangers","The American Inferno, Burnt Out","Tanner","",
"stranger-brother-dorkins","strangers","Brothers and Sisters, One and All","Saint Denis monks. Help with charity. Honor rewards.","4",
"stranger-fisher-of-fish","strangers","A Fisher of Fish","Jeremy Gill near Flatneck Station. Catch 13 legendary fish. Map provided.","2",
"stranger-mercies-knowledge","strangers","The Mercies of Knowledge","Saint Denis. Professor wants electric chair test subject. Dark humor.","4",
"stranger-artist-way","strangers","The Artist","","",
"stranger-american-dreams","strangers","American Dreams (Serial Killer)","Find 3 murder scenes across map → piece together clues → find killer hideout.","2",
"stranger-fine-night","strangers","A Fine Night For It","Bayou north of Saint Denis. Strange encounter 10PM-5AM. Supernatural mystery.","2",
"stranger-wisdom-elders","strangers","The Wisdom of the Elders","Butcher Creek. Investigate cursed village. Multiple parts.","6",
"stranger-idealism","strangers","Idealism and Pragmatism for Beginners","Saint Denis. University professors debate. Involves Mayor Lemieux.","4",
"stranger-smoking","strangers","Smoking and Other Hobbies","Flatneck Station. Phineas Ramsbottom wants cigarette cards. Collect all 144!","2",
"stranger-hunting-requests","strangers","Hunting Requests (5 Parts)","Any train station clerk. Hunt specific perfect small game carcasses.","2",
"hunt-req-01","strangers","Request 1","Perfect Rabbit, Squirrel, Chipmunk carcasses","",
"hunt-req-02","strangers","Request 2","Perfect Rat, Woodpecker, Bat carcasses","",
"hunt-req-03","strangers","Request 3","Perfect Robin, Opossum, Toad carcasses","",
"hunt-req-04","strangers","Request 4","Perfect Cedar Waxwing, Oriole, Skunk carcasses","",
"hunt-req-05","strangers","Request 5","Perfect Blue Jay, Crow, Cardinal carcasses","",
"stranger-suffragette","strangers","A Better World, A New Friend","Valentine. Meet suffragette campaigning for women","",
"stranger-fundraiser","strangers","Fundraiser (MISSABLE)","⚠️ MISSABLE after Ch6! Saint Denis. Woman collecting donations. Small honor gains.","4",
"stranger-no-good-deed","strangers","No Good Deed","Rhodes. Dr. Alphonse Renaud needs help recovering stolen medical supplies.","3",
"stranger-smell-greasepaint","strangers","The Smell of the Grease Paint","Van Horn saloon. Circus performers need help. Multiple funny encounters.","2",
"stranger-american-inferno-epilogue","strangers","The American Inferno (Epilogue)","Tanner","",
"stranger-all-that-glitters","strangers","All That Glitters","West of Flatneck Station. Buy treasure map for $10 or rob the stranger.","2",
"treasure-jack-hall","treasures","Jack Hall Gang Treasure","Reward: 2 Gold Bars ($1000). Required for 100% completion.","",
"jack-hall-1","treasures","Map 1: Buy from Maximo","Treasure hunter NW of Flatneck Station, on ridge overlooking river. Sells for $10 (or $5 if haggle).","",
"jack-hall-2","treasures","Map 2: Caliban","","",
"jack-hall-3","treasures","Map 3: Cotorra Springs","West end of springs, circle of rock formations. Search central rock pile. Pearl Necklace bonus.","",
"jack-hall-final","treasures","TREASURE: O","","",
"treasure-high-stakes","treasures","High Stakes Treasure","Reward: 3 Gold Bars ($1500). Required for 100% completion.","",
"high-stakes-1","treasures","Map 1: Save/Rob Stranger","Random encounter after Chapter 3 ","",
"high-stakes-2","treasures","Map 2: Cumberland Falls","Behind the waterfall! Climb rocks on LEFT side, enter cave behind falls. Chest against wall.","",
"high-stakes-3","treasures","Map 3: Barrow Lagoon","Frozen pond in Ambarino. NE of Mount Hagen. Search under fallen tree on east shore.","",
"high-stakes-final","treasures","TREASURE: Above Fort Wallace","DO NOT enter fort! Cliff ABOVE fort on east side. Jump down carefully. 3 GOLD BARS!","",
"treasure-poisonous-trail","treasures","Poisonous Trail Treasure","Reward: 4 Gold Bars ($2000). Highest payout! Required for 100% completion.","",
"poison-1","treasures","Map 1: Cairn Lake Cabin","Small frozen lake cabin in Ambarino. Map pinned to wall inside.","",
"poison-2","treasures","Map 2: Face Rock (Facu Rock)","West of Ringneck Creek. Giant face carved in rock. Map in the ","",
"poison-3","treasures","Map 3: Elysian Pool Cave","Cave behind Elysian Pool waterfall! BRING LANTERN. Deep in cave system. Dangerous bats.","",
"poison-final","treasures","TREASURE: Lighthouse Area","North of lighthouse, south of Van Horn. Stone pile near coast. 4 GOLD BARS!","",
"treasure-le-tresor","treasures","Le Tresor Des Morts","⚠️ Special/Ultimate Edition ONLY. Reward: 6 Gold Bars ($3000)!","",
"le-tresor-1","treasures","Map 1: Burned Settlement","Limpany ruins SW of Horseshoe Overlook. Jailhouse still standing - corpse inside has map.","",
"le-tresor-2","treasures","Map 2: Saint Denis Docks","Cornwall Freight Station underground passage connecting yard to harbor. Check wall near wooden crate","",
"le-tresor-final","treasures","TREASURE: Saint Denis Cemetery","Mausoleum with stained glass window, west of central dome. Inspect left wall. 6 GOLD BARS!","",
"treasure-elemental","treasures","Elemental Trail Treasure","Tree carvings lead to treasure. Reward: 2 Gold Bars ($1000).","",
"elemental-1","treasures","Tree 1: Window Rock Area","Near Window Rock, look for tree with carved symbol (Earth). Leads to next clue.","",
"elemental-2","treasures","Tree 2: Elysian Pool Area","Another carved tree (Water symbol). Follow the pattern.","",
"elemental-3","treasures","Tree 3: Fort Brennand Area","Third carved tree (Fire symbol). Combines all elements.","",
"elemental-final","treasures","TREASURE: Mount Shann Sundial","Summit of Mount Shann. Behind the sundial stone structure. 2 GOLD BARS!","",
"treasure-mended","treasures","Torn (Mended) Treasure Map","Two hermits have map halves. Reward: Otis Miller Revolver!","",
"mended-1","treasures","Map Half 1: Hermit Cabin (Manito Glade)","North of Annesburg. Aggressive hermit with shotgun! Check drawer inside cabin.","",
"mended-2","treasures","Map Half 2: Hermit Woman Cabin","NW West Elizabeth, follow Little Creek River. Another hostile hermit. Check inside.","",
"mended-final","treasures","TREASURE: New Austin (Epilogue)","⚠️ EPILOGUE ONLY. Cholla Springs area. Otis Miller","",
"treasure-statues","treasures","Strange Statues Puzzle","Cave behind Window Rock. 7 statues with buttons. Press ONLY prime numbers (2, 3, 5, 7). 3 Gold Bars!","",
"treasure-train-wreck","treasures","Train Wreck Gold Bar","North of Cotorra Springs, wrecked train in gorge ravine. Lockbox in baggage car.","",
"treasure-limpany","treasures","Limpany Sheriff Office Gold Bar","Burned town Limpany, SW of Horseshoe Overlook. Sheriff desk lockbox. May respawn!","",
"treasure-braithwaite","treasures","Braithwaite Manor Gold Bar","After manor burns in Chapter 4. Search ruins carefully. Lockbox in rubble.","",
"explorer-1","challenge-explorer","Rank 1: Find Any Treasure Map","Buy from Maximo, get from gang hideout, etc.","",
"explorer-2","challenge-explorer","Rank 2: Find 1 Treasure Stash","Complete any treasure hunt chain.","",
"explorer-3","challenge-explorer","Rank 3: Find 2 Treasure Stashes","Jack Hall Gang + High Stakes recommended.","",
"explorer-4","challenge-explorer","Rank 4: Find 3 Treasure Stashes","Add Poisonous Trail.","",
"explorer-5","challenge-explorer","Rank 5: Find 4 Treasure Stashes","Add Le Tresor Des Morts.","",
"explorer-6","challenge-explorer","Rank 6: Find 5 Treasure Stashes","All major treasure hunts complete.","",
"explorer-7","challenge-explorer","Rank 7: Discover 10 Points of Interest","Unique locations shown in journal when found.","",
"explorer-8","challenge-explorer","Rank 8: Discover 15 Points of Interest","Explore Ambarino and Lemoyne thoroughly.","",
"explorer-9","challenge-explorer","Rank 9: Discover 20 Points of Interest","Use online map guides for remaining ones.","",
"explorer-10","challenge-explorer","Rank 10: Discover 25+ Points of Interest","Full world exploration required.","",
"herbalist-1","challenge-herbalist","Rank 1: Pick 6 Yarrow","Yellow flowers. Heartlands grasslands, very common.","",
"herbalist-2","challenge-herbalist","Rank 2: Eat 4 Berry Types","Raspberry, Blackberry, Wintergreen, Evergreen. Just eat them.","",
"herbalist-3","challenge-herbalist","Rank 3: Craft 7 Sage-Based Items","Potent Bitters or Seasoned Meat. Sage is common.","",
"herbalist-4","challenge-herbalist","Rank 4: Feed Horse 5 Mushrooms","Any mushroom type. Open satchel, select mushroom, feed option.","",
"herbalist-5","challenge-herbalist","Rank 5: Craft 9 Indian Tobacco Items","Snake Oil ingredients. Indian Tobacco near rivers.","",
"herbalist-6","challenge-herbalist","Rank 6: Collect 15 Plant Species","Explore different biomes. Desert plants in New Austin later.","",
"herbalist-7","challenge-herbalist","Rank 7: Craft 5 Special Miracle Tonics","High-tier recipes. Buy pamphlets from Fence.","",
"herbalist-8","challenge-herbalist","Rank 8: Craft 6 Poison Weapons (Oleander)","Poison arrows/throwing knives. Oleander grows in Bayou.","",
"herbalist-9","challenge-herbalist","Rank 9: Pick All 43 Plant Species","REQUIRES NEW AUSTIN! Epilogue normally. Desert cactus etc.","epilogue",
"herbalist-10","challenge-herbalist","Rank 10: Season and Cook 11 Meat Types","All meat types with oregano/thyme/mint. SEASONED versions count.","",
"horseman-1","challenge-horseman","Rank 1: Kill 5 Rabbits from Horseback","Trample them or shoot. Fields near Valentine.","",
"horseman-2","challenge-horseman","Rank 2: Jump 3 Obstacles in 15 Seconds","Find fence line, jump three times quickly.","",
"horseman-3","challenge-horseman","Rank 3: Valentine to Rhodes Under 5 Min","Horse Stimulants. Take direct road. Fast horse.","",
"horseman-4","challenge-horseman","Rank 4: Drag Victim 3300 Feet","Lasso someone, drag them while riding in big circles.","",
"horseman-5","challenge-horseman","Rank 5: Trample 5 Animals","Gallop through rabbit/squirrel fields.","",
"horseman-6","challenge-horseman","Rank 6: Strawberry to Saint Denis (No Water)","Under 9 minutes. Long detour around rivers. Use bridges.","",
"horseman-7","challenge-horseman","Rank 7: Kill 7 Enemies from Horseback","Don","",
"horseman-8","challenge-horseman","Rank 8: Kill 9 Predators from Horseback","Wolves, cougars, bears. Use rifle from saddle.","",
"horseman-9","challenge-horseman","Rank 9: Van Horn to Blackwater (No Water)","Under 17 min. REQUIRES EPILOGUE. Long detour.","epilogue",
"horseman-10","challenge-horseman","Rank 10: Break Every Wild Horse Breed","Mustang, Nokota, American Paint, Hungarian, Morgan.","",
