id,section,text,tip_short,tip_detailed,chapter,region,reward,missable,notes
"exotic-p2-spoonbill","collectibles","Roseate Spoonbill Plumes (5)","","🩷 PINK birds! Bayou Nwa islands. Beautiful but rare.","","","","",""
"exotic-p3-acuna","collectibles","Acuna's Star Orchids (3)","","📍 TREES in NE Bayou Nwa.","","","","",""
"exotic-p3-cigar","collectibles","Cigar Orchids (7)","","📍 TREES in Bluewater Marsh and NE Bayou Nwa.","","","","",""
"exotic-p3-eggs","collectibles","Gator Eggs (5)","","📍 Nests near water in Bayou Nwa. Check shorelines.","","","","",""
"exotic-p4-ghost","collectibles","Ghost Orchids (5)","","📍 TREES deep in Bayou Nwa. Hard to spot - use Eagle Eye!","","","","",""
"exotic-p4-night","collectibles","Night Scented Orchids (5)","","📍 TREES south of Braithwaite Manor area.","","","","",""
"exotic-p4-rat","collectibles","Rat Tail Orchids (10)","","📍 TREES throughout Lemoyne swamps.","","","","",""
"exotic-p4-spider","collectibles","Spider Orchids (5)","","📍 TREES in Lemoyne swamp areas.","","","","",""
"exotic-p5-clamshell","collectibles","Clamshell Orchids (5)","","📍 TREES E of Caliga Hall and Shady Belle, along riverfront.","","","","",""
"exotic-p5-dragon","collectibles","Dragon's Mouth Orchids (5)","","📍 GROUND scattered across Grizzlies East mountains.","","","","",""
"exotic-p5-eggs","collectibles","Gator Eggs (20 more)","","📍 20 more eggs! Same locations. Check repeatedly.","","","","",""
"exotic-p5-queens","collectibles","Queen's Orchids (5)","","📍 GROUND near shores of Lagras and Lakay, Bayou Nwa.","","","","",""
"exotic-p5-sparrow","collectibles","Sparrow's Egg Orchids (10)","","📍 GROUND N of Roanoke Ridge and Elysian Pool.","","","","",""
"exotic-part1","collectibles","── PART I ──","","⚠️ START HERE: Orchids only spawn up to current quest amount!","","","","",""
"exotic-part2","collectibles","── PART II ──","","Turn in Part I first! New orchids spawn after.","","","","",""
"exotic-part3","collectibles","── PART III ──","","Quest is getting harder. Use Eagle Eye (L3+R3) constantly!","","","","",""
"exotic-part4","collectibles","── PART IV ──","","Almost there! Keep searching systematically.","","","","",""
"exotic-part5","collectibles","── PART V (FINAL) ──","","🎉 Last stretch! Collect these for the big reward.","","","","",""
"comp-bill-coach","companion-activities","Rob Coach with Bill","","Alden at Rhodes station gives tip. Bill is chaotic.","","","","YES",""
"comp-ch2","companion-activities","Chapter 2 Activities","","Horseshoe Overlook camp. White icons on map. Do these before leaving!","2","","","YES",""
"comp-ch3","companion-activities","Chapter 3 Activities","","Clemens Point camp near Rhodes. Many missable activities here!","3","","","YES",""
"comp-ch4","companion-activities","Chapter 4 Activities","","Shady Belle camp in swamp. Fewer activities but still missable.","4","","","YES",""
"comp-charles-hunt","companion-activities","Hunting with Charles","","White icon at camp. Teaches bow hunting basics. Start of great friendship.","","","","YES",""
"comp-javier-chez","companion-activities","Rob Chez Porter with Javier","","O'Driscoll hideout north of Valentine. Fun stealth or loud approach.","","","","YES",""
"comp-javier-fish","companion-activities","Fishing with Javier","","Relaxing trip. Good dialogue about his past.","","","","YES",""
"comp-kieran-fish","companion-activities","Fishing with Kieran","","He's nervous but friendly. Do this before Chapter 4...","","","","YES",""
"comp-lenny-coach","companion-activities","Rob Coach with Lenny","","Professional heist. Lenny is reliable partner.","","","","YES",""
"comp-lenny-filet","companion-activities","Five Finger Fillet with Lenny","","Camp game. Beat him to win money. He takes it well.","","","","YES",""
"comp-micah-coach","companion-activities","Rob Coach with Micah","","He makes it violent. Expect chaos and high bounty.","","","","YES",""
"comp-micah-filet","companion-activities","Five Finger Fillet with Micah","","He cheats. Beat him anyway for satisfaction.","","","","YES",""
"comp-pearson-hunt","companion-activities","Hunting with Pearson","","Rare activity. Good stories about his navy days.","","","","YES",""
"comp-sean-coach","companion-activities","Rob Coach with Sean","","Another drunk heist. Peak Sean energy.","","","","YES",""
"comp-sean-lonnie","companion-activities","Rob Lonnie's Shack with Sean","","Drunken robbery mission. Sean is hilarious drunk.","","","","YES",""
"comp-tilly-dominoes","companion-activities","Dominoes with Tilly","","Camp game. She's surprisingly competitive.","","","","YES",""
"comp-trophy","companion-activities","🏆 Friends With Benefits Trophy","","Complete at least one companion activity in each camp (Ch2-4) for trophy/achievement.","","","Trophy/Achievement","",""
"comp-uncle-cattle","companion-activities","Cattle Rustling with Uncle","","Steal cattle together. Uncle is lazy but entertaining.","","","","YES",""
"companion-activities","companion-activities","Chapter 2 Activities","","Horseshoe Overlook camp. White icons on map. Do these before leaving!","2","","Trophy/Achievement","YES",""
"gang-hideouts","gang-hideouts","100% Completion Hideouts (6 Required)","","Clear all enemies to complete. Some respawn, some are story-locked.","Epilogue","","","",""
"hideout-beaver-hollow","gang-hideouts","Beaver Hollow (Murfree Brood)","","📍 W of Annesburg, Roanoke Ridge. Becomes gang camp in Chapter 6.","6","","","",""
"hideout-bonus","gang-hideouts","Bonus Hideouts (Optional)","","Extra hideouts not required for 100% but offer good loot.","","","","",""
"hideout-fort-mercer","gang-hideouts","Fort Mercer (Del Lobos)","","📍 New Austin, S of Armadillo. ⚠️ EPILOGUE ONLY! Abandoned fort with many enemies.","Epilogue","","","",""
"hideout-gaptooth","gang-hideouts","Gaptooth Breach (Del Lobos)","","📍 Gaptooth Ridge, W of Tumbleweed. Abandoned mine colony. Epilogue only.","","","","",""
"hideout-hanging-dog","gang-hideouts","Hanging Dog Ranch (O\","","📍 W of Valentine, near Little Creek River. Chapter 6 story mission. Laramie Gang in epilogue.","6","","","",""
"hideout-main","gang-hideouts","100% Completion Hideouts (6 Required)","","Clear all enemies to complete. Some respawn, some are story-locked.","Epilogue","","","",""
"hideout-shady-belle","gang-hideouts","Shady Belle (Lemoyne Raiders)","","📍 Bayou Nwa, south of Caliga Hall. Story location - becomes camp in Chapter 4.","3","","","",""
"hideout-six-point","gang-hideouts","Six Point Cabin (O\","","📍 NE of Valentine, Cumberland Forest. Encountered in Chapter 2 story. Can be cleared again later.","2","","","",""
"hideout-solomons","gang-hideouts","Solomon\","","📍 S of Benedict Point, New Austin. Small barn with guarded basement. Epilogue only.","","","","",""
"hideout-thieves-landing","gang-hideouts","Thieves\","","📍 New Austin, S of Blackwater. ⚠️ EPILOGUE ONLY! Outlaw town - clear the whole area.","Epilogue","","","",""
"hideout-tip-deadeye","gang-hideouts","Dead Eye Tonics","","Bring Snake Oil. Dead Eye makes clearing multiple enemies much easier.","","","","",""
"hideout-tip-loot","gang-hideouts","Loot Everything","","Hideouts have ammo, money, valuables. Check all bodies and buildings!","","","","",""
"hideout-tip-respawn","gang-hideouts","Respawn Mechanic","","Most hideouts respawn after a few in-game days. Good for farming money.","","","","",""
"hideout-tip-stealth","gang-hideouts","Use Stealth","","Approach at night with bow. Take out sentries silently for easier fight.","","","","",""
"hideout-tips","gang-hideouts","Gang Hideout Tips","","Strategies for clearing hideouts safely.","","","","",""
"hideout-twin-rocks","gang-hideouts","Twin Rocks (Del Lobos) ⭐","","📍 Cholla Springs, N of Armadillo. Special/Ultimate Edition bonus. Epilogue only.","","","","",""
"grave-arthur","graves","Arthur Morgan's Grave","","EPILOGUE. East of Bacchus Station. Visit as John for dialogue.","","","","",""
"grave-davey","graves","Davey Callender's Grave","","Died from Blackwater wounds. Near Colter, by Jenny.","","","","",""
"grave-eagle","graves","Eagle Flies' Grave","","After oil factory mission. Wapiti Indian Reservation.","","","","",""
"grave-hosea","graves","Hosea Matthews' Grave","","After Saint Denis bank. Near Bluewater Marsh.","","","","",""
"grave-jenny","graves","Jenny Kirk's Grave","","Died during Blackwater heist. Near Colter, snowy area.","","","","",""
"grave-kieran","graves","Kieran Duffy's Grave","","After O'Driscoll camp. Near Shady Belle.","","","","",""
"grave-lenny","graves","Lenny Summers' Grave","","After Saint Denis bank. Near Hosea's.","","","","",""
"grave-sean","graves","Sean MacGuire's Grave","","After his death in Rhodes. Scarlett Meadows area.","","","","",""
"grave-susan","graves","Susan Grimshaw's Grave","","After Beaver Hollow. Near camp ruins.","","","","",""
"graves","graves","Jenny Kirk's Grave","","Died during Blackwater heist. Near Colter, snowy area.","","","","",""
"fish-bass-large","legendary-animals","Largemouth Bass (San Luis River)","","New Austin area. Special Lake Lure.","epilogue","","","",""
"fish-bass-rock","legendary-animals","Rock Bass (Aurora Basin)","","Tall Trees area. Special Lake Lure.","","","","",""
"fish-bass-small","legendary-animals","Smallmouth Bass (Owanjila Lake)","","Near Strawberry. Special Lake Lure.","","","","",""
"fish-bass-striped","legendary-animals","Striped Bass (San Luis River)","","Rio Bravo, New Austin. Special River Lure.","epilogue","","","",""
"fish-bluegill","legendary-animals","Bluegill (Flat Iron Lake)","","Near Rhodes. Special Lake Lure.","","","","",""
"fish-catfish","legendary-animals","Channel Catfish (Sisika Island)","","Prison island area. Special River Lure. Easier in epilogue.","epilogue","","","",""
"fish-gar","legendary-animals","Longnose Gar (Lagras)","","Bayou Nwa swamp. Special Swamp Lure.","","","","",""
"fish-muskie","legendary-animals","Muskie (O\","","Same lake as Hamish. Special Lake Lure.","","","","",""
"fish-perch","legendary-animals","Perch (Elysian Pool)","","Roanoke Ridge. Special Lake Lure.","","","","",""
"fish-pickerel","legendary-animals","Chain Pickerel (Dakota River)","","Near Valentine. Special River Lure.","","","","",""
"fish-salmon","legendary-animals","Sockeye Salmon (Lake Isabella)","","Far north, snowy. Special Lake Lure.","","","","",""
"fish-steelhead","legendary-animals","Steelhead Trout (Willard\","","Near Charlotte\","","","","",""
"fish-sturgeon","legendary-animals","Lake Sturgeon (Flat Iron Lake)","","South of Rhodes. Special Lake Lure.","","","","",""
"leg-alligator","legendary-animals","Legendary Bullgator","","Lakay, Bayou Nwa. ONLY after Chapter 4. Bring Rolling Block Rifle + shotgun backup!","4","","Alligator Tooth Talisman","",""
"leg-bear","legendary-animals","Legendary Bharati Grizzly Bear","","North of O'Creagh's Run. AGGRESSIVE! Springfield Rifle or Rolling Block. Aim for head.","","","Bear Claw Talisman","",""
"leg-beaver","legendary-animals","Legendary Beaver","","Butcher Creek area, west of Van Horn. Albino beaver - Varmint Rifle one-shot.","","","","",""
"leg-bison-tatanka","legendary-animals","Legendary Tatanka Bison","","Hennigan's Stead, SE of MacFarlane's Ranch. Docile but tough - multiple headshots.","epilogue","","","",""
"leg-bison-white","legendary-animals","Legendary White Bison","","Lake Isabella, NW corner near Mount Hagen. Use high-powered rifle headshot.","","","White Bison Hat","",""
"leg-boar","legendary-animals","Legendary Boar","","Bluewater Marsh, north of Lagras. Springfield or poison arrows work well.","","","","",""
"leg-buck","legendary-animals","Legendary Buck","","NW of Strawberry, Black Bone Forest. HUNT FIRST for Buck Antler Trinket = better pelts!","","","Buck Antler Trinket","YES",""
"leg-cougar","legendary-animals","Legendary Cougar","","Gaptooth Ridge, west of Tumbleweed. Very deadly - use Dead Eye + shotgun!","epilogue","","Cougar Fang Trinket","",""
"leg-coyote","legendary-animals","Legendary Coyote","","Scarlett Meadows near Dewberry Creek, NW of Rhodes. Fast - use Springfield for one-shot.","","","","",""
"leg-elk","legendary-animals","Legendary Elk","","East of Bacchus Station, Cumberland Forest. Springfield or bow to vitals.","","","","",""
"leg-fox","legendary-animals","Legendary Fox","","North of Rhodes near Mattock Pond. Small target - Varmint Rifle or bow.","","","","",""
"leg-moose","legendary-animals","Legendary Moose","","Near Brandywine Drop, northeast corner. RARE SPAWN - camp nearby and sleep repeatedly.","","","Moose Antler Trinket","",""
"leg-panther","legendary-animals","Legendary Giaguaro Panther","","Bolger Glade, south of Braithwaite Manor. REQUIRES Master Hunter Rank 9 first. Extremely dangerous!","","","Panther Eye Trinket","YES",""
"leg-pronghorn","legendary-animals","Legendary Pronghorn","","Del Lobo Rock, SE of Fort Mercer. Fast runner - sniper rifle essential.","epilogue","","","",""
"leg-ram","legendary-animals","Legendary Bighorn Ram","","East of Cattail Pond, near Valentine. Use bow or rifle headshot. Cover scent helps.","","","","",""
"leg-wolf","legendary-animals","Legendary Wolf","","Cotorra Springs geyser area. Best at dawn. Sniper first shot, then Dead Eye.","","","Wolf Heart Trinket","",""
"legendary-ambarino","legendary-animals","Ambarino Region (Grizzlies)","","Cold weather region - dress warm! Some of the toughest legendary animals.","","","Trapper outfits + Fence trinkets","",""
"legendary-animals","legendary-animals","Ambarino Region (Grizzlies)","","Cold weather region - dress warm! Some of the toughest legendary animals.","epilogue","","Trapper outfits + Fence trinkets","YES",""
"legendary-fish","legendary-animals","🐟 Legendary Fish (13 Total)","","Start: Jeremy Gill at Flat Iron Lake. Buy Special Lures from Bait Shop. Mail fish to Jeremy.","epilogue","","Special Hat + Fish Map","",""
"legendary-lemoyne","legendary-animals","Lemoyne Region","","Swamp and bayou area. Watch for gators!","4","","Alligator Tooth Talisman","YES",""
"legendary-new-austin","legendary-animals","New Austin (EPILOGUE ONLY)","","⚠️ These 3 animals can only be hunted in the Epilogue as John Marston.","epilogue","","Cougar Fang Trinket","",""
"legendary-new-hanover","legendary-animals","New Hanover Region","","Central map area - accessible early in story.","","","Buck Antler Trinket","YES",""
"legendary-roanoke","legendary-animals","Roanoke Ridge Region","","Northeast woodland area. Rare spawn territory.","","","Moose Antler Trinket","",""
"missable","missable","Bolt Action Rifle (Free)","","""The First Shall Be Last"" mission. Kill LEFT bounty hunter fast.","2","","","YES",""
"missable-bolt-action","missable","Bolt Action Rifle (Free)","","""The First Shall Be Last"" mission. Kill LEFT bounty hunter fast.","2","","","YES",""
"missable-camp-requests","missable","Camp Companion Requests","","Gang members ask for items (pipe, book, etc.). Check ""scouting"" icon at camp.","","","","YES",""
"missable-chicks-treasure","missable","Chick's Treasure Map","","Painting in Shady Belle. Inspect BEFORE leaving in Chapter 4.","4","","","YES",""
"missable-do-not-seek","missable","Do Not Seek Absolution I & II","","Brother Dorkins. High honor required. Saint Denis church.","6","","","YES",""
"missable-edith-downes","missable","Edith Downes Missions (2 Parts)","","Saint Denis slums. After debt collection missions. Redemption arc.","6","","","YES",""
"missable-high-honor","missable","High Honor Missions","","Some stranger encounters require high honor to access.","","","","YES",""
"missable-kieran","missable","Fishing with Kieran","","Chapter 3 only. Before Kieran's fate.","3","","","YES",""
"missable-lenny","missable","A Quiet Time (Lenny Night)","","Valentine bar. Automatic story mission. YNNEL!","2","","","YES",""
"missable-mary-missions","missable","Mary Linton Missions (3 Parts)","","Complete all before Chapter 6 ends. Emotional storyline.","6","","","YES",""
"missable-pearson-jacket","missable","Pearson's Scout Jacket","","Donate a rabbit carcass to Pearson. Chapters 2-3 only.","3","","","YES",""
"missable-veteran","missable","The Veteran (Hamish Sinclair)","","O'Creagh's Run. 4 Parts. Final part gives Buell the horse.","6","","","YES",""
"missable-widow","missable","The Widow (Charlotte Balfour)","","North of Annesburg. 3 Parts. Teaching survival.","6","","","YES",""
"bigfoot-skeleton","mysteries","Giant Skeleton","","📍 Cave at top of Mount Shann (N of Strawberry). Massive humanoid skeleton. Point of Interest marked in journal.","","","","",""
"bigfoot-voice","mysteries","Talking Giant","","📍 Grizzlies East, E of Wapiti Reservation. REQUIREMENT: Study 30+ animal species first! Follow bird flock from river to cave. Return every 3 days for more dialogue.","","","","",""
"ghost-agnes","mysteries","Ghost of Agnes Dowd ⭐","","📍 NW Bluewater Marsh, 9PM-3AM, foggy weather. Appears 16 TIMES telling her tragic story. Grave at Shady Belle.","","","","",""
"ghost-train","mysteries","Ghost Train","","📍 Scarlett Meadows, S of Old Greenbank Mill. Ride tracks at 3:00 AM. Horse gets anxious! Appears ONCE per playthrough.","","","","",""
"mystery-bigfoot","mysteries","Bigfoot & Giant Encounters","","Evidence of giant creatures in the mountains.","","","","",""
"mystery-devil","mysteries","Devil's Cave","","📍 Big Valley cave. Man claims to be the Devil. Creepy dialogue.","","","","",""
"mystery-feral","mysteries","Feral Man","","📍 Roanoke Ridge. Wild man living with wolf pack. Unique encounter.","","","","",""
"mystery-ghosts","mysteries","Ghost Encounters","","Supernatural apparitions that tell tragic stories.","","","","",""
"mystery-meteor","mysteries","Meteor Crash Site","","📍 Roanoke Ridge. Burned cabin destroyed by meteor. Find meteor fragment inside.","","","","",""
"mystery-other","mysteries","Other Secrets & Easter Eggs","","Additional mysterious encounters throughout the world.","","","","",""
"mystery-pagan","mysteries","Pagan Ritual Site","","📍 Big Valley, West Elizabeth. Disturbing sacrifice scene. Night recommended.","","","","",""
"mystery-robot","mysteries","Part 1: Meet Marko","","Help an inventor create an electric automaton! Multi-part stranger mission.","","","Electric Lantern","",""
"mystery-serial-killer","mysteries","Serial Killer Mystery (American Dreams)","","Find 3 gruesome clues to track down the killer. Reward: Unique encounter + item.","","","Unique Confrontation","",""
"mystery-strange-man","mysteries","The Strange Man","","📍 Abandoned cabin near Bayall Edge. Mirror reflects mysterious figure from RDR1. Painting completes over time.","","","","",""
"mystery-time-traveler","mysteries","Time Traveler (Geology for Beginners)","","Man with modern clothes asks you to find rock carvings. Strange ending...","","","Old Brass Compass","",""
"mystery-tiny-church","mysteries","Tiny Church","","📍 Bayou Nwa, Lemoyne. Miniature uninhabited white church. Unexplained...","","","","",""
"mystery-ufo","mysteries","UFO Sightings","","Two locations to witness alien spacecraft. Requires specific times!","","","Mysterious Note","",""
"mystery-vampire","mysteries","Vampire of Saint Denis","","Find 5 blood graffiti clues. Only appears at midnight! Reward: Ornate Dagger.","","","Ornate Dagger","",""
"mystery-viking","mysteries","Viking Tomb","","📍 NW of Annesburg. Ancient Viking burial site. Get Viking Hatchet + Helmet here.","","","","",""
"mystery-witch","mysteries","Witch's Cauldron","","📍 N of Annesburg in swamp. Find bubbling cauldron. Drink potion for strange effect!","","","","",""
"robot-final","mysteries","Part 3: Find the Robot","","📍 Wait a few more days, return to find Marko dead. Robot fled to mountain ledge overlooking Colter. Says ""Papa""...","","","","",""
"robot-lab","mysteries","Part 2: Doverhill Lab","","📍 Doverhill (far NE map). Wait 24+ in-game hours. Capture lightning with rods. Robot comes alive!","","","","",""
"robot-meet","mysteries","Part 1: Meet Marko","","📍 SW Saint Denis park. Chapter 4+. Help with RC boat demonstration.","","","","",""
"serial-cabin","mysteries","Confront the Killer","","📍 Lucky\","","","","",""
"serial-clue-1","mysteries","Clue 1: Wallace Station","","📍 SW of Valentine, S of Wallace Station. Rock with dismembered body. Map piece in severed head\","","","","",""
"serial-clue-2","mysteries","Clue 2: Valentine South","","📍 Between Citadel Rock & Caster\","","","","",""
"serial-clue-3","mysteries","Clue 3: Braithwaite Manor","","📍 East of Braithwaite Manor. Body in tree with ""BEHOLD"" written. Final map piece.","","","","",""
"sinclair-carvings","mysteries","Find All 10 Rock Carvings","","See Collectibles section for locations. Carvings show pyramids, Vikings, skyscrapers...","","","","",""
"sinclair-ending","mysteries","Return to Cabin","","⚠️ After finding all carvings, return. Woman with baby who has SAME BIRTHMARK as Francis. Time loop?","","","","",""
"sinclair-meet","mysteries","Meet Francis Sinclair","","📍 Small cabin NW of Strawberry. Chapter 2+. Note his modern speech and birthmark!","","","","",""
"ufo-cult-shack","mysteries","UFO 1: Hani's Bethel (Cult Shack)","","📍 Between N and O of ""New Hanover"" on map (N of Emerald Ranch). Find dead cultists + note about KUHKOWABA.","","","Mysterious Note","",""
"ufo-cult-trigger","mysteries","UFO 1: Trigger at 2:00 AM","","⚠️ Return to shack at 2:00 AM. Green glow, UFO hovers above!","","","","",""
"ufo-shann","mysteries","UFO 2: Mount Shann Peak","","📍 Peak of Mount Shann (NW of Strawberry). Clue in cult note. Go at night.","","","","",""
"ufo-shann-trigger","mysteries","UFO 2: Witness at Peak","","⚠️ Stand at very top of mountain at night. Second, different UFO appears!","","","","",""
"vampire-encounter","mysteries","Kill the Vampire ⭐","","⚠️ Appears 12:00-1:00 AM ONLY! Alley south of general store near Doyle\","","","","",""
"vampire-graffiti-1","mysteries","Graffiti 1: Near Outdoor Market","","Close to Trapper/Fence location in SE Saint Denis.","","","","",""
"vampire-graffiti-2","mysteries","Graffiti 2: Soup Kitchen","","Across from Doyle\","","","","",""
"vampire-graffiti-3","mysteries","Graffiti 3: Alleyway","","Between Gaillard\","","","","",""
"vampire-graffiti-4","mysteries","Graffiti 4: Church Area","","Near St. Denis Cathedral southern wall.","","","","",""
"vampire-graffiti-5","mysteries","Graffiti 5: Back Streets","","Behind the general store area. Inspect all to trigger encounter.","","","","",""
"pamph-arrows","pamphlets","Special Arrow Pamphlets","","Arrows for hunting and combat. Flight Feathers from birds!","","","1 Arrow + 1 Oleander Sage + 1 Flight Feather","",""
"pamph-cover-scent","pamphlets","Cover Scent Lotion Pamphlet","","📍 Early game Fence. Mask your scent from animals.","","","1 Sage + 1 Oregano","",""
"pamph-dynamite-arrow","pamphlets","Dynamite Arrow Pamphlet","","📍 Lockbox under small wooden bridge S of Wapiti Indian Reservation. OR Fence after quest.","","","1 Arrow + 1 Dynamite + 1 Flight Feather","",""
"pamph-explosive","pamphlets","Explosive & Incendiary Ammo","","Most powerful ammo types. Animal Fat is key ingredient!","","","1 Slug Shell + 1 Animal Fat","",""
"pamph-explosive-slug","pamphlets","Explosive Slug Pamphlet","","📍 Burned house near train tracks between Gaptooth Ridge & Cholla Springs. OR Fence ($90) after ""A Short Walk in a Pretty Town"".","","","1 Slug Shell + 1 Animal Fat","",""
"pamph-explosives","pamphlets","Explosive Pamphlets","","Throwable explosive upgrades.","","","1 Dynamite + 1 Animal Fat + 1 High-Velocity Cartridge","",""
"pamph-express-explosive","pamphlets","Express Explosive Pamphlet","","📍 Available from start of Chapter 2.","","","1 Express Cartridge + 1 Animal Fat","",""
"pamph-fire-arrow","pamphlets","Fire Arrow Pamphlet","","📍 Fence ($75). Requires Animal Fat.","","","1 Arrow + 1 Animal Fat + 1 Flight Feather","",""
"pamph-homing-tomahawk","pamphlets","Homing Tomahawk Pamphlet","","📍 Fence. Slightly homing capabilities.","","","1 Tomahawk + 1 Owl Feather","",""
"pamph-horse-reviver","pamphlets","Horse Reviver Pamphlet","","📍 Fence. Bring back downed horse!","","","1 Sage + 1 Health Cure","",""
"pamph-horse-stimulant","pamphlets","Horse Stimulant Pamphlet","","📍 Fence. Restore horse stamina.","","","1 Burdock Root + 1 Oleander Sage","",""
"pamph-hunting","pamphlets","Hunting & Bait Pamphlets","","Lures and scent covers for hunting.","","","1 Sage + 1 Oregano","",""
"pamph-improved-arrow","pamphlets","Improved Arrow Pamphlet","","📍 Fence ($350). Better penetration for large game.","","","1 Arrow + 1 Flight Feather","",""
"pamph-improved-knife","pamphlets","Improved Throwing Knife Pamphlet","","📍 Fence ($45). Better range and damage.","","","1 Throwing Knife + 1 Owl Feather","",""
"pamph-incendiary-buckshot","pamphlets","Incendiary Buckshot Pamphlet","","📍 Under floorboard at Copperhead Landing cabin. OR Fence ($80) after ""Pouring Forth Oil I"".","","","1 Shotgun Shell + 1 Moonshine","",""
"pamph-poison-arrow","pamphlets","Poison Arrow Pamphlet","","📍 Lockbox outside Mysterious Hill Home (NE of Bacchus Station). OR Charles bison hunt. OR Fence.","","","1 Arrow + 1 Oleander Sage + 1 Flight Feather","",""
"pamph-poison-knife","pamphlets","Poison Throwing Knife Pamphlet","","📍 Under floorboard in shack N of Saint Denis (near train tracks). OR Charles quest. OR Fence.","","","1 Throwing Knife + 1 Oleander Sage","",""
"pamph-potent-bitters","pamphlets","Potent Snake Oil Pamphlet","","📍 Fence. Dead eye restoration.","","","1 Indian Tobacco + 1 Sage","",""
"pamph-potent-health","pamphlets","Potent Health Cure Pamphlet","","📍 Near Annesburg mining area. OR Fence.","","","1 Ginseng + 1 Yarrow","",""
"pamph-potent-herbivore-bait","pamphlets","Potent Herbivore Bait Pamphlet","","📍 Fence. Attracts herbivores faster.","","","2 Berries + 1 Vanilla Flower","",""
"pamph-potent-predator-bait","pamphlets","Potent Predator Bait Pamphlet","","📍 Fence. Attracts predators faster.","","","2 Meat + 1 Blackberry","",""
"pamph-small-game-arrow","pamphlets","Small Game Arrow Pamphlet","","📍 Fence. Essential for perfect small pelts!","","","1 Arrow + 1 Shotgun Shell + 1 Flight Feather","",""
"pamph-special-horse-food","pamphlets","Special Horse Food Pamphlet","","📍 Fence. Best horse core restoration.","","","1 Big Game Meat + 1 Apple + 1 Hay","",""
"pamph-special-miracles","pamphlets","Special Miracle Tonic Pamphlet","","📍 Fence after Chapter 3. Full core restore!","","","1 Valerian Root + 1 Yarrow + 1 Ginseng","",""
"pamph-thrown","pamphlets","Thrown Weapon Pamphlets","","Tomahawks and Throwing Knives upgrades.","","","1 Throwing Knife + 1 Oleander Sage","",""
"pamph-tonics","pamphlets","Tonic Pamphlets","","Health, Stamina, Dead Eye restoration crafting.","","","1 Ginseng + 1 Yarrow","",""
"pamph-tracking-arrow","pamphlets","Tracking Arrow Pamphlet","","📍 Complete ""Hunting for Sport"" with Charles.","","","1 Arrow + 1 Indian Tobacco + 1 Flight Feather","",""
"pamph-volatile-dynamite","pamphlets","Volatile Dynamite Pamphlet","","📍 Lockbox under broken wagon at Hani's Bethel. OR Fence after 'American Distillation'.","","","1 Dynamite + 1 Animal Fat + 1 High-Velocity Cartridge","",""
"pamph-volatile-fire-bottle","pamphlets","Volatile Fire Bottle Pamphlet","","📍 Fence ($95). Bigger explosion.","","","1 Fire Bottle + 1 Animal Fat","",""
"pamphlets","pamphlets","Explosive & Incendiary Ammo","","Most powerful ammo types. Animal Fat is key ingredient!","","","1 Slug Shell + 1 Animal Fat","",""
"qs-arthur-lodgings","quickstart","Upgrade Arthur's Lodgings ($325)","","Unlocks Fast Travel from camp. Huge quality of life improvement.","","","","",""
"qs-horse-station","quickstart","Unlock Horse Station ($300)","","Access all your stabled horses from camp.","","","","",""
"qs-lancaster","quickstart","Steal Lancaster Repeater (Free)","","Rhodes Gunsmith basement. Free the prisoner for this excellent repeater.","","","","",""
"qs-leather-working","quickstart","Donate $225 for Leather Working Tools","","Camp ledger. Required to craft satchels at Pearson. Do this ASAP.","","","","",""
"qs-legendary-buck","quickstart","Hunt Legendary Buck FIRST","","West of Strawberry. The Buck Antler Trinket increases perfect pelt chances by one star. This changes everything.","","","","YES",""
"qs-limpany-gold","quickstart","Grab Limpany Gold Bar ($500)","","Burned town south of Valentine. Sheriff's desk has a lockbox with gold bar.","","","","",""
"qs-schofield","quickstart","Steal Schofield Revolver (Free)","","Valentine Doctor side business. Best early revolver.","","","","",""
"qs-varmint-rifle","quickstart","Buy Varmint Rifle ($72)","","Essential for perfect small animal pelts. Available at any Gunsmith.","","","","",""
"quickstart","quickstart","Hunt Legendary Buck FIRST","","West of Strawberry. The Buck Antler Trinket increases perfect pelt chances by one star. This changes everything.","","","","YES",""
"satchel","satchel","PREREQUISITE: Donate for Leather Working Tools","","Camp ledger, $225. Without this, Pearson cannot craft satchels.","","","","YES",""
"satchel-ingredients","satchel","Ingredients Satchel","","1x Perfect Deer, 1x Perfect Badger, 1x Perfect Squirrel. Varmint Rifle for small animals.","","","","",""
"satchel-kit","satchel","Kit Satchel","","1x Perfect Deer, 1x Perfect Elk, 1x Perfect Panther. Panthers = night, Braithwaite Manor area.","","","","",""
"satchel-legend","satchel","Legend of the East Satchel","","CRAFT ALL ABOVE + 1x Perfect Cougar + 1x Perfect Wolf. 99 slots for EVERYTHING.","","","","YES",""
"satchel-materials","satchel","Materials Satchel","","1x Perfect Deer, 1x Perfect Boar, 1x Perfect Iguana. Iguanas on Guarma... or Flat Iron Lake islands.","","","","",""
"satchel-prerequisite","satchel","PREREQUISITE: Donate for Leather Working Tools","","Camp ledger, $225. Without this, Pearson cannot craft satchels.","","","","",""
"satchel-provisions","satchel","Provisions Satchel","","1x Perfect Deer, 1x Perfect Bison, 1x Perfect Raccoon. Raccoons near rivers at night.","","","","",""
"satchel-tonics","satchel","Tonics Satchel","","1x Perfect Deer Pelt, 1x Perfect Buck Pelt, 1x Perfect Elk Pelt. Holds 99 tonics.","","","","",""
